"","age","Fuel_Type","Kms_Driven","Transmission","Seller_Type","Owner"
"238",9,"Petrol",23709,"Manual","Dealer",0
"239",9,"Diesel",32322,"Manual","Dealer",0
"240",6,"Petrol",35866,"Manual","Dealer",1
"241",7,"Petrol",34000,"Manual","Dealer",0
"242",5,"Petrol",7000,"Manual","Dealer",0
"244",9,"Diesel",71000,"Manual","Dealer",0
"245",9,"Petrol",35000,"Manual","Dealer",0
"246",6,"Petrol",36000,"Manual","Dealer",0
"247",8,"Petrol",30000,"Manual","Dealer",0
"249",5,"Diesel",35934,"Manual","Dealer",0
"250",8,"Petrol",56701,"Manual","Dealer",0
"252",7,"Diesel",48000,"Manual","Dealer",0
"253",8,"Petrol",54242,"Manual","Dealer",0
"254",9,"Petrol",53675,"Manual","Dealer",0
"255",5,"Petrol",49562,"Manual","Dealer",0
"256",6,"Petrol",40324,"Manual","Dealer",0
"258",7,"Petrol",36054,"Manual","Dealer",0
"259",5,"Petrol",29223,"Manual","Dealer",0
"260",5,"Petrol",5600,"Manual","Dealer",0
"261",6,"Petrol",40023,"Manual","Dealer",0
"263",6,"Petrol",40026,"Manual","Dealer",0
"264",4,"Petrol",21200,"Manual","Dealer",0
"266",5,"Diesel",19434,"Manual","Dealer",0
"267",4,"Petrol",19000,"Manual","Dealer",0
"268",6,"Petrol",18828,"Manual","Dealer",0
"269",10,"Petrol",69341,"Manual","Dealer",0
"270",12,"Petrol",69562,"Manual","Dealer",0
"271",6,"Petrol",27600,"Manual","Dealer",0
"272",11,"Petrol",61203,"Manual","Dealer",0
"273",7,"Petrol",16500,"Manual","Dealer",0
"276",6,"Petrol",21780,"Manual","Dealer",0
"277",5,"Petrol",4000,"Manual","Dealer",0
"278",7,"Petrol",40126,"Manual","Dealer",0
"280",15,"Petrol",50456,"Manual","Dealer",0
"281",7,"Diesel",63000,"Manual","Dealer",0
"282",5,"Petrol",9010,"Manual","Dealer",0
"283",8,"Petrol",9800,"Manual","Dealer",0
"284",5,"Petrol",15059,"Automatic","Dealer",0
"286",6,"Petrol",44000,"Automatic","Dealer",0
"288",5,"Petrol",10980,"Manual","Dealer",0
"289",7,"Petrol",19000,"Manual","Dealer",0
"290",6,"Petrol",31427,"Manual","Dealer",0
"291",5,"Petrol",12000,"Manual","Dealer",0
"292",11,"Petrol",38000,"Manual","Dealer",0
"293",7,"Petrol",33019,"Manual","Dealer",0
"294",6,"Diesel",60076,"Manual","Dealer",0
"296",6,"Petrol",60000,"Manual","Dealer",0
"297",12,"Petrol",87934,"Manual","Dealer",0
"298",4,"Diesel",9000,"Manual","Dealer",0
"299",5,"Petrol",5464,"Manual","Dealer",0
"2",8,"Diesel",43000,"Manual","Dealer",0
"6",3,"Diesel",2071,"Manual","Dealer",0
"7",6,"Petrol",18796,"Manual","Dealer",0
"17",6,"Diesel",41678,"Manual","Dealer",0
"26",8,"Petrol",55138,"Manual","Dealer",0
"36",18,"Petrol",127000,"Manual","Individual",0
"38",18,"Petrol",62000,"Manual","Dealer",0
"45",8,"Petrol",64532,"Manual","Dealer",0
"56",11,"Petrol",50000,"Manual","Dealer",0
"62",6,"Diesel",47000,"Automatic","Dealer",0
"63",4,"Diesel",6000,"Automatic","Dealer",0
"71",8,"Petrol",56001,"Manual","Dealer",0
"74",6,"Petrol",36000,"Manual","Dealer",0
"76",17,"Petrol",135154,"Automatic","Dealer",0
"77",11,"Petrol",80000,"Automatic","Dealer",0
"87",8,"Petrol",47000,"Manual","Dealer",0
"97",8,"Petrol",45000,"Manual","Dealer",0
"98",11,"Diesel",50024,"Manual","Dealer",0
"104",6,"Petrol",21700,"Manual","Individual",0
"110",5,"Petrol",8700,"Manual","Individual",0
"117",6,"Petrol",26000,"Manual","Individual",0
"123",9,"Petrol",11500,"Manual","Individual",0
"127",4,"Petrol",3000,"Manual","Individual",0
"129",4,"Petrol",11000,"Manual","Individual",0
"135",7,"Petrol",23500,"Manual","Individual",0
"136",8,"Petrol",16000,"Manual","Individual",0
"140",5,"Petrol",20000,"Manual","Individual",0
"141",6,"Petrol",29000,"Manual","Individual",0
"145",7,"Petrol",15000,"Manual","Individual",0
"146",6,"Petrol",58000,"Manual","Individual",0
"159",10,"Petrol",24000,"Manual","Individual",0
"160",7,"Petrol",23000,"Manual","Individual",0
"166",7,"Petrol",42000,"Manual","Individual",0
"172",4,"Petrol",1300,"Automatic","Individual",0
"173",6,"Petrol",38600,"Manual","Individual",0
"184",13,"Petrol",1900,"Automatic","Individual",0
"190",9,"Petrol",25000,"Manual","Individual",1
"202",10,"Petrol",53460,"Manual","Dealer",0
"204",5,"Petrol",3493,"Manual","Dealer",1
"206",6,"Petrol",34797,"Automatic","Dealer",0
"219",4,"Petrol",38488,"Manual","Dealer",0
"221",7,"Diesel",77632,"Manual","Dealer",0
"223",8,"Petrol",36198,"Automatic","Dealer",0
"227",9,"Diesel",60000,"Manual","Dealer",0
"230",4,"Petrol",15001,"Manual","Dealer",0
"232",8,"Diesel",53000,"Manual","Dealer",0
"243",8,"Diesel",49000,"Manual","Dealer",0
"248",5,"Petrol",17000,"Manual","Dealer",0
"251",6,"Petrol",31427,"Automatic","Dealer",0
"257",6,"Petrol",25000,"Manual","Dealer",0
"262",5,"Petrol",16002,"Manual","Dealer",0
"265",7,"Petrol",35000,"Manual","Dealer",0
"274",5,"Petrol",30753,"Automatic","Dealer",0
"275",6,"Petrol",24800,"Manual","Dealer",0
"279",6,"Petrol",14465,"Manual","Dealer",0
"285",5,"Petrol",28569,"Manual","Dealer",0
"287",6,"Petrol",34000,"Manual","Dealer",0
"295",5,"Diesel",33988,"Manual","Dealer",0
