"","Present_Price","age","Fuel_Type","Kms_Driven","Transmission","Seller_Type","Owner"
"200",6.79,11,"Diesel",58000,"Manual","Dealer",1
"201",5.7,6,"Petrol",28200,"Manual","Dealer",0
"203",4.43,6,"Petrol",28282,"Manual","Dealer",0
"205",7.13,4,"Petrol",12479,"Manual","Dealer",0
"207",8.1,4,"Petrol",3435,"Manual","Dealer",0
"208",5.7,6,"Diesel",21125,"Manual","Dealer",0
"209",4.6,9,"Petrol",35775,"Manual","Dealer",0
"210",14.79,6,"Diesel",43535,"Manual","Dealer",0
"211",13.6,5,"Petrol",22671,"Manual","Dealer",0
"212",6.79,10,"Petrol",31604,"Manual","Dealer",0
"213",5.7,4,"Petrol",20114,"Manual","Dealer",0
"214",9.4,9,"Petrol",36100,"Manual","Dealer",0
"215",4.43,5,"Petrol",12500,"Manual","Dealer",0
"216",4.43,5,"Petrol",15000,"Manual","Dealer",0
"217",9.4,7,"Petrol",45078,"Manual","Dealer",0
"218",9.4,9,"Petrol",36000,"Manual","Dealer",0
"220",6.79,8,"Petrol",32000,"Automatic","Dealer",0
"222",9.4,6,"Diesel",61381,"Manual","Dealer",0
"224",4.6,10,"Petrol",22517,"Manual","Dealer",0
"225",5.7,6,"Petrol",24678,"Manual","Dealer",0
"226",4.43,10,"Petrol",57000,"Manual","Dealer",0
"228",6.79,9,"Diesel",52132,"Manual","Dealer",0
"229",9.4,8,"Diesel",45000,"Manual","Dealer",0
"231",14.79,6,"Petrol",12900,"Automatic","Dealer",0
"233",5.7,6,"Petrol",4492,"Manual","Dealer",0
"234",9.4,4,"Petrol",15141,"Manual","Dealer",0
"235",4.43,5,"Petrol",11849,"Manual","Dealer",0
"236",13.6,6,"Diesel",68000,"Manual","Dealer",0
"237",9.4,8,"Petrol",60241,"Manual","Dealer",0
"238",4.43,9,"Petrol",23709,"Manual","Dealer",0
"239",9.4,9,"Diesel",32322,"Manual","Dealer",0
"240",7.13,6,"Petrol",35866,"Manual","Dealer",1
"241",7.13,7,"Petrol",34000,"Manual","Dealer",0
"242",7.6,5,"Petrol",7000,"Manual","Dealer",0
"244",9.4,9,"Diesel",71000,"Manual","Dealer",0
"245",6.79,9,"Petrol",35000,"Manual","Dealer",0
"246",9.4,6,"Petrol",36000,"Manual","Dealer",0
"247",4.6,8,"Petrol",30000,"Manual","Dealer",0
"249",13.6,5,"Diesel",35934,"Manual","Dealer",0
"250",9.9,8,"Petrol",56701,"Manual","Dealer",0
"252",9.9,7,"Diesel",48000,"Manual","Dealer",0
"253",9.9,8,"Petrol",54242,"Manual","Dealer",0
"254",5.35,9,"Petrol",53675,"Manual","Dealer",0
"255",13.6,5,"Petrol",49562,"Manual","Dealer",0
"256",13.6,6,"Petrol",40324,"Manual","Dealer",0
"258",7,7,"Petrol",36054,"Manual","Dealer",0
"259",13.6,5,"Petrol",29223,"Manual","Dealer",0
"260",5.97,5,"Petrol",5600,"Manual","Dealer",0
"261",5.8,6,"Petrol",40023,"Manual","Dealer",0
"263",7,6,"Petrol",40026,"Manual","Dealer",0
"264",8.7,4,"Petrol",21200,"Manual","Dealer",0
"266",9.4,5,"Diesel",19434,"Manual","Dealer",0
"267",5.8,4,"Petrol",19000,"Manual","Dealer",0
"268",10,6,"Petrol",18828,"Manual","Dealer",0
"269",10,10,"Petrol",69341,"Manual","Dealer",0
"270",10,12,"Petrol",69562,"Manual","Dealer",0
"271",10,6,"Petrol",27600,"Manual","Dealer",0
"272",7.5,11,"Petrol",61203,"Manual","Dealer",0
"273",6.8,7,"Petrol",16500,"Manual","Dealer",0
"276",13.6,6,"Petrol",21780,"Manual","Dealer",0
"277",8.4,5,"Petrol",4000,"Manual","Dealer",0
"278",13.6,7,"Petrol",40126,"Manual","Dealer",0
"280",7.6,15,"Petrol",50456,"Manual","Dealer",0
"281",14,7,"Diesel",63000,"Manual","Dealer",0
"282",11.8,5,"Petrol",9010,"Manual","Dealer",0
"283",5.9,8,"Petrol",9800,"Manual","Dealer",0
"284",8.5,5,"Petrol",15059,"Automatic","Dealer",0
"286",7.5,6,"Petrol",44000,"Automatic","Dealer",0
"288",13.6,5,"Petrol",10980,"Manual","Dealer",0
"289",6.4,7,"Petrol",19000,"Manual","Dealer",0
"290",6.1,6,"Petrol",31427,"Manual","Dealer",0
"291",8.4,5,"Petrol",12000,"Manual","Dealer",0
"292",9.9,11,"Petrol",38000,"Manual","Dealer",0
"293",6.8,7,"Petrol",33019,"Manual","Dealer",0
"294",13.09,6,"Diesel",60076,"Manual","Dealer",0
"296",5.9,6,"Petrol",60000,"Manual","Dealer",0
"297",11,12,"Petrol",87934,"Manual","Dealer",0
"298",12.5,4,"Diesel",9000,"Manual","Dealer",0
"299",5.9,5,"Petrol",5464,"Manual","Dealer",0
"2",9.54,8,"Diesel",43000,"Manual","Dealer",0
"6",9.83,3,"Diesel",2071,"Manual","Dealer",0
"7",8.12,6,"Petrol",18796,"Manual","Dealer",0
"17",10.79,6,"Diesel",41678,"Manual","Dealer",0
"26",5.87,8,"Petrol",55138,"Manual","Dealer",0
"36",2.28,18,"Petrol",127000,"Manual","Individual",0
"38",7.98,18,"Petrol",62000,"Manual","Dealer",0
"45",4.89,8,"Petrol",64532,"Manual","Dealer",0
"56",18.54,11,"Petrol",50000,"Manual","Dealer",0
"62",35.96,6,"Diesel",47000,"Automatic","Dealer",0
"63",36.23,4,"Diesel",6000,"Automatic","Dealer",0
"71",18.61,8,"Petrol",56001,"Manual","Dealer",0
"74",6.8,6,"Petrol",36000,"Manual","Dealer",0
"76",12.35,17,"Petrol",135154,"Automatic","Dealer",0
"77",22.83,11,"Petrol",80000,"Automatic","Dealer",0
"87",6.05,8,"Petrol",47000,"Manual","Dealer",0
"97",18.61,8,"Petrol",45000,"Manual","Dealer",0
"98",20.45,11,"Diesel",50024,"Manual","Dealer",0
"104",2.37,6,"Petrol",21700,"Manual","Individual",0
"110",1.5,5,"Petrol",8700,"Manual","Individual",0
"117",1.47,6,"Petrol",26000,"Manual","Individual",0
"123",1.75,9,"Petrol",11500,"Manual","Individual",0
"127",0.87,4,"Petrol",3000,"Manual","Individual",0
"129",0.87,4,"Petrol",11000,"Manual","Individual",0
"135",1.2,7,"Petrol",23500,"Manual","Individual",0
"136",0.787,8,"Petrol",16000,"Manual","Individual",0
"140",0.8,5,"Petrol",20000,"Manual","Individual",0
"141",0.84,6,"Petrol",29000,"Manual","Individual",0
"145",0.787,7,"Petrol",15000,"Manual","Individual",0
"146",0.84,6,"Petrol",58000,"Manual","Individual",0
"159",0.95,10,"Petrol",24000,"Manual","Individual",0
"160",0.826,7,"Petrol",23000,"Manual","Individual",0
"166",0.81,7,"Petrol",42000,"Manual","Individual",0
"172",0.51,4,"Petrol",1300,"Automatic","Individual",0
"173",0.72,6,"Petrol",38600,"Manual","Individual",0
"184",0.58,13,"Petrol",1900,"Automatic","Individual",0
"190",0.57,9,"Petrol",25000,"Manual","Individual",1
"202",4.6,10,"Petrol",53460,"Manual","Dealer",0
"204",5.7,5,"Petrol",3493,"Manual","Dealer",1
"206",5.7,6,"Petrol",34797,"Automatic","Dealer",0
"219",4.43,4,"Petrol",38488,"Manual","Dealer",0
"221",7.6,7,"Diesel",77632,"Manual","Dealer",0
"223",9.4,8,"Petrol",36198,"Automatic","Dealer",0
"227",9.4,9,"Diesel",60000,"Manual","Dealer",0
"230",9.4,4,"Petrol",15001,"Manual","Dealer",0
"232",5.7,8,"Diesel",53000,"Manual","Dealer",0
"243",9.4,8,"Diesel",49000,"Manual","Dealer",0
"248",7.6,5,"Petrol",17000,"Manual","Dealer",0
"251",6.82,6,"Petrol",31427,"Automatic","Dealer",0
"257",13.6,6,"Petrol",25000,"Manual","Dealer",0
"262",7.7,5,"Petrol",16002,"Manual","Dealer",0
"265",7,7,"Petrol",35000,"Manual","Dealer",0
"274",13.6,5,"Petrol",30753,"Automatic","Dealer",0
"275",13.6,6,"Petrol",24800,"Manual","Dealer",0
"279",5.9,6,"Petrol",14465,"Manual","Dealer",0
"285",7.9,5,"Petrol",28569,"Manual","Dealer",0
"287",13.6,6,"Petrol",34000,"Manual","Dealer",0
"295",11.6,5,"Diesel",33988,"Manual","Dealer",0
